"artifact"	"path"	"exists"	"year"	"metric"	"rows"	"numeric_values"	"distinct_values"	"min"	"max"	"zero_count"	"nonzero_count"	"finding"
"output_smoke_days_unit"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"	"YES"	"2020"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_unit"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"	"YES"	"2021"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_unit"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"	"YES"	"2022"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_unit"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"	"YES"	"2023"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_unit"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"	"YES"	"2024"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2015"	"smoke_days"	"26"	"26"	"4"	"0"	"136.792321359103"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2016"	"smoke_days"	"26"	"26"	"4"	"0"	"119.116966013078"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2017"	"smoke_days"	"26"	"26"	"4"	"0"	"101.441610667052"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2018"	"smoke_days"	"26"	"26"	"4"	"0"	"83.7662553210272"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2019"	"smoke_days"	"26"	"26"	"4"	"0"	"66.0908999750021"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2020"	"smoke_days"	"26"	"26"	"4"	"0"	"48.4155446289769"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2021"	"smoke_days"	"26"	"26"	"4"	"0"	"30.7401892829517"	"22"	"4"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2022"	"smoke_days"	"26"	"26"	"2"	"0"	"13.0648339369266"	"24"	"2"	"VARIED"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2023"	"smoke_days"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2024"	"smoke_days"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2015"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2016"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2017"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2018"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2019"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2020"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2021"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2022"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2023"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
"output_smoke_days_nuts3_annual"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"2024"	"smoke_missing_flag"	"26"	"26"	"1"	"0"	"0"	"26"	"0"	"ALL_ZERO"
