"artifact"	"year"	"metric"	"rows"	"distinct_values"	"min"	"max"	"nonzero_count"	"finding"	"delimiter"	"columns"	"path"
"output_smoke_days_unit"	"2017"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2018"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2019"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2020"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2021"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2022"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2023"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2024"	"smoke_score_mean"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2015"	"smoke_score_p80"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2016"	"smoke_score_p80"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2017"	"smoke_score_p80"	"26"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
